ライン名,説明
07,実装07
09,実装09
KAHA01,DCM EGR-V ハウジング組立1号
KAHA02,DCM EGR-V ハウジング組立2号
KAHA03,DCM EGR-V ハウジング組立3号
KAHA04,DCM EGR-V ハウジング組立4号
KAHA05,DCM EGR-V ハウジング組立5号
KJBC41,バリチェック41号
KJBC42,バリチェック42号
KJCW42,巻線42号
KJCW43,巻線４３号
KJJA01,ジョイント組付
KJMA41,モーター組立４１号
KJMA42,モーター組立４２号
KJMA43,モーター組立43号
KJPC42,粉体塗装42号
KJSA43,センサー組立43号
KKTA01,ＤＣＭ ＶＧ-ＡＣＴ ﾏﾝﾄﾗＤ
KKTA02,ＤＣＭ ＶＧ-ＡＣＴ ﾏﾝﾄﾗＥ
KKVA03,ＶＧ-ＡＣＴ 組立３号
KKVA04,ＶＧ-ＡＣＴ 組立４号
N0ABC010,DMS 検査
N0ABP010,DMS 中間検査
N0BDC010,HDL 検査
N0BDP010,HDL 中間検査
N0CCC010,CID 検査
N0CCP010,CID 中間検査
N0CEC010,MFA2-mopf 検査
N0CEP010,MFA2-mopf 中間検査
NAABA010,NISSAN DMC 組立
NAACA010,NISSAN DMC-J32V 組立
NAACA020,NISSAN_ECU_J32V 組立
NABDA010,NISSAN HDL 組立#1
NACAA010,NISSAN_CID 組立#1
NACEA010,NISSAN CID-Switch 組立#1
NACEA020,NISSAN CID-Switch 組立#2
NBABA010,HONDA DMC 組立
NBABA020,HONDA-DMC_Gen2.5 組立
NBABA030,HONDA-DMC_Gen2.5a_ECU 組立
NBABA040,HONDA-DMC_Gen2.5a_LED 組立
NBACA010,HONDA_DMC-CAMERA 組立#1
NCAAA010,SUZUKI DMS 組立#1
NCAAA020,SUZUKI DMS 組立#2
NDAAA010,MAZDA OMS 組立#1
NDAAA020,MAZDA OMS 組立#2
NEAAA010,MMC DMS 組立
NEABA010,MMC DMS-OUTLANDER 組立#1
NFBAA010,SUBARU HDL 組立
NHCBA531,MBC Truck 組立#53-1
NHCBC531,MBC Truck 検査#53-1
NHCBP531,MBC Truck 中間検査#53-1
NHCFA010,MBC MFA2-mopf 組立
NSDCA570,HAC 昇降ナビ 組立#57
NSDCC570,HAC 昇降ナビ 検査#57
NSDCP570,HAC 昇降ナビ 中間検査#57
STRBL,S工トラブル
TEST,生シ変換取込テスト
WCGBA020,PORSCHE LED Gen4 組立#2
WCGBA040,PORSCHE LED Gen4 組立#4
WCGBC010,PORSCHE LED Gen4 検査
WCGBP120,PORSCHE LED Gen4 基板#12
WDBBA010,MMC OBC 2.7G 組立
WDBBC010,MMC OBC 2.7G 検査
WDBBP010,MMC OBC 2.7G 基板
WDBBP030,MMC OBC 2.7G 基板フロー#3
YASM03,実装3号ライン
YASM04,実装4号ライン
YASM06,実装6号ライン
YASM07,実装7号ライン
YASM08,実装8号ライン
YASM09,実装9号ライン
YASM11,実装11号ライン
YASM12,実装12号ライン
YAXC01,X線検査1号
YAXC02,X線検査2号
ZKONPO,梱包
ZKURAIRE,倉入れ
ZSYUKKA,出荷
