line,name,description
DCM6,001010,ローター着磁・ステータ電気チェック・組み合わせ機
DCM6,002010,プレートレーザー溶接機
DCM6,003010,上ベアリング圧入機
DCM6,004010,マグネットASSY着磁機
DCM6,005010,マグネット圧入・超音波溶着機
DCM6,006010,ボス超音波溶着
DCM6,007010,ホットワイヤ溶着機#1
DCM6,007020,ホットワイヤ溶着機#2
DCM6,008010,シャフト挿入機
DCM6,009010,気密試験機
DCM6,010010,グリス塗布・特性試験機
DCM6,010020,特性試験機#2
DCM6,012010,ロボット制御
HDA-X2,JISOU,HDA-X2ライン実装
HDA-X2,KON,HDA-X2梱包
HDA-X2,PTS001,ASSY-ROM(SD)
HDA-X2,PTS002,CHASSIS-MAIN
HDA-X2,PTS003,MOTOR-FAN
HDA-X2,PTS004,PCB-MAIN
HDA-X2,PTS005,ASSY-CHASSIS-AUDIO
HDA-X2,PTS006,PCB-AUDIO
HDA-X2,PTS007,CHASSIS-SUB
HDA-X2,PTS008,CHASSIS-REAR
HDA-X2,PTS009,ASSY-COVER-TOP
HDA-X2,PTS010,HEAT-SINK-AUDIO
HDA-X2,PTS011,PCB-SUB
HDA-X2,PTS012,ASSY-PANEL
HDA-X2,PTS013,ASSY-CHASSIS-F
HDA-X2,PTS014,ANTENNA
HDA-X2,PTS015,BRACKET-L
HDA-X2,PTS016,BRACKET-R
HDA-X2,PTS017,HEAT-SINK-MAIN
HDA-X2,PTS018,LINKTEST
HDA-X2,SYU,HDA-X2出荷
KAHA01,001010,バルブシート圧入
KAHA01,002010,バルブシート圧入
KAHA01,003010,シール圧入
KAHA01,004010,ストッパ組付け
KAHA01,005010,正圧漏れ試験
KAHA01,006010,バイパスバルブ圧入
KAHA01,007010,ピン圧入1
KAHA01,008010,ピン圧入2
KAHA01,009010,スペーサ選択
KAHA01,010010,モーター組付け
KAHA01,011010,特性試験
KAHA01,012010,流量試験
KAHA01,013010,Duty試験
KAHA01,014010,レーザーマーキング
KAHA01,015010,目視箱入れ
KAHA02,001010,バルブシート１圧入コーキング
KAHA02,002010,バルブシート２圧入コーキング
KAHA02,003010,下バルブ圧入コーキング
KAHA02,004010,上バルブ圧入コーキング
KAHA02,005010,軸シール圧入コーキング
KAHA02,006010,ピン圧入溶接
KAHA02,007010,バイパスバルブ圧入
KAHA02,008010,ストッパ組付
KAHA02,009010,正圧漏れ試験
KAHA02,010010,スペーサ選択モータネジ締め
KAHA02,011010,３Ｇセンサー書き込み
KAHA02,012010,特性試験#１
KAHA02,013010,特性試験#２
KAHA02,014010,ＤＵＴＹ試験
KAHA02,015010,レーザーマーキング
KAHA03,001010,タップチェック
KAHA03,002010,プレス機#１バルブシート圧入コーキング
KAHA03,003010,プレス機#2ブッシュ圧入コーキング機
KAHA03,004010,プレス機#３軸シールプラグ圧入
KAHA03,005010,プレス機#４ストッパ組付
KAHA03,006010,ハイスピンカシメ
KAHA03,007010,正圧漏れ試験
KAHA03,008010,スペーサ選択
KAHA03,009010,センサ書き込み
KAHA03,010010,立上試験
KAHA03,011010,流量試験
KAHA03,012010,ＤＵＴＹ試験_１
KAHA03,012020,ＤＵＴＹ試験_２
KAHA03,012030,ＤＵＴＹ試験_３
KAHA03,012040,ＤＵＴＹ試験_４
KAHA03,012050,ＤＵＴＹ試験_５
KAHA03,012060,ＤＵＴＹ試験_６
KAHA03,013010,レーザ印字
KAHA04,001010,プラグ(バリシール) 圧入
KAHA04,002010,バルブシート圧入コーキング
KAHA04,003010,軸シールプラグ圧入コーキング
KAHA04,004010,プレートコーキング
KAHA04,005010,バルブシート2 圧入コーキング
KAHA04,006010,上下ハウジング圧入ネジ締め
KAHA04,007010,ストッパ組付
KAHA04,008010,バルブ再押し
KAHA04,009010,底プラグ圧入コーキング
KAHA04,010010,正圧漏れ試験
KAHA04,011010,スペーサ選択センサ書込み/モータネジ締め
KAHA04,012010,立上り試験
KAHA04,013010,流量試験
KAHA04,014010,DUTY試験
KAHA04,015010,レーザーマーキング
KAHA05,001010,バルブシート圧入コーキング
KAHA05,002010,シールASSY圧入コーキング サポートASSY圧入コーキング
KAHA05,003010,プレートコーキング
KAHA05,004010,バルブシート2 圧入コーキング
KAHA05,005010,ストッパ組付
KAHA05,006010,バルブ再押し
KAHA05,007010,底プラグ圧入コーキング
KAHA05,008010,底プラグネジ締め カバー取り付け
KAHA05,009010,正圧漏れ試験
KAHA05,010010,スペーサ選択 センサ書込み
KAHA05,011010,モータネジ締め
KAHA05,012010,立上り試験
KAHA05,013010,流量試験
KAHA05,014010,ＤＵＴＹ試験
KAHA05,014020,ＤＵＴＹ試験
KAHA05,014030,ＤＵＴＹ試験
KAHA05,015010,レーザー印字
KAHA05,016010,外観検査・出荷梱包
KJBC41,001010,バリチェック#1_1
KJBC41,001020,バリチェック#2_1
KJBC41,001030,バリチェック#3_1
KJBC41,001040,バリチェック#4_1
KJBC41,002010,バリチェック#１_２
KJBC41,002020,バリチェック#２_２
KJBC41,002030,バリチェック#３_２
KJBC41,002040,バリチェック#4_2
KJBC42,001010,バリチェック#1_1
KJBC42,001020,バリチェック#2_1
KJBC42,001030,バリチェック#3_1
KJBC42,001040,バリチェック#4_1
KJBC42,002010,バリチェック#１_２
KJBC42,002020,バリチェック#２_２
KJBC42,002030,バリチェック#３_２
KJBC42,002040,バリチェック#4_2
KJCW42,001010,コンミ圧入#1_L
KJCW42,001020,コンミ圧入#1_R
KJCW42,001030,コンミ圧入#2_L
KJCW42,001040,コンミ圧入#2_R
KJCW42,002010,巻線#1_L
KJCW42,002020,巻線#1_R
KJCW42,002030,巻線#2_L
KJCW42,002040,巻線#2_R
KJCW42,002050,巻線#3_L
KJCW42,002060,巻線#3_R
KJCW42,002070,巻線#4_L
KJCW42,002080,巻線#4_R
KJCW42,002090,巻線#5_L
KJCW42,002100,巻線#5_R
KJCW42,002110,巻線#6_L
KJCW42,002120,巻線#6_R
KJCW42,003010,線クロス#1_1
KJCW42,003020,線クロス#1_2
KJCW42,003030,線クロス#1_3
KJCW42,003040,線クロス#1_4
KJCW42,004010,投入機#1
KJCW42,005010,ヒュージング#１
KJCW42,005020,ヒュージング#２
KJCW42,005030,ヒュージング#３
KJCW42,005040,ヒュージング#４
KJCW42,005050,ヒュージング#５
KJCW42,005060,ヒュージング#６
KJCW42,005070,ヒュージング#７
KJCW42,006010,サージ試験#1
KJCW42,007010,絶縁試験#1
KJCW42,008010,抵抗試験#1
KJCW42,009010,外観目視#1
KJCW43,001010,コンミ圧入#３_Ｌ
KJCW43,001020,コンミ圧入#３_Ｒ
KJCW43,001030,コンミ圧入#４_Ｌ
KJCW43,001040,コンミ圧入#４_Ｒ
KJCW43,001050,コンミ圧入#５_Ｌ
KJCW43,001060,コンミ圧入#５_Ｒ
KJCW43,002010,巻線#７_Ｌ
KJCW43,002020,巻線#７_Ｒ
KJCW43,002030,巻線#８_Ｌ
KJCW43,002040,巻線#８_Ｒ
KJCW43,002050,巻線#９_Ｌ
KJCW43,002060,巻線#９_Ｒ
KJCW43,002070,巻線#１０_Ｌ
KJCW43,002080,巻線#１０_Ｒ
KJCW43,002090,巻線#１１_Ｌ
KJCW43,002100,巻線#１１_Ｒ
KJCW43,002110,巻線#１２_Ｌ
KJCW43,002120,巻線#１２_Ｒ
KJCW43,002130,巻線#１３_Ｌ
KJCW43,002140,巻線#１３_Ｒ
KJCW43,002150,巻線#１４_Ｌ
KJCW43,002160,巻線#１４_Ｒ
KJCW43,002170,巻線#１５_Ｌ
KJCW43,002180,巻線#１５_Ｒ
KJCW43,003010,線クロス#２_１
KJCW43,003020,線クロス#２_２
KJCW43,003030,線クロス#２_３
KJCW43,003040,線クロス#２_４
KJCW43,004010,投入機#２
KJCW43,004020,投入機#３
KJCW43,005010,ヒュージング#８
KJCW43,005020,ヒュージング#９
KJCW43,005030,ヒュージング#１０
KJCW43,005040,ヒュージング#１１
KJCW43,005050,ヒュージング#１２
KJCW43,005060,ヒュージング#１３
KJCW43,005070,ヒュージング#１４
KJCW43,005080,ヒュージング#１５
KJCW43,005090,ヒュージング#１６
KJCW43,005100,ヒュージング#１７
KJCW43,006010,サージ試験#２
KJCW43,006020,サージ試験#３
KJCW43,007010,絶縁試験#２
KJCW43,007020,絶縁試験#３
KJCW43,008010,抵抗試験#２
KJCW43,008020,抵抗試験#３
KJCW43,009010,外観目視#２
KJCW43,009020,外観目視#３
KJJA01,001010,ジョイント組付
KJMA41,001010,ステータ印字
KJMA41,002010,ステータ着磁
KJMA41,003010,ロータ電気チェック
KJMA41,004010,ロータ圧入
KJMA41,005010,プレートレーザー溶接
KJMA41,006010,ブラシ組付け
KJMA41,007010,ホットワイヤ溶着
KJMA41,008010,グリス塗布
KJMA41,009010,ボス超音波溶着(トランスアクスル)
KJMA41,010010,ボス超音波溶着(3.6G)
KJMA41,011010,ボスプレート超音波溶着
KJMA41,012010,ALボスネジ締め
KJMA41,013010,気密試験
KJMA41,014010,センサ書込み
KJMA41,015010,特性試験
KJMA42,001010,ステータ着磁#1
KJMA42,001020,ステータ着磁#2
KJMA42,002010,ロータ電気チェック1
KJMA42,003010,ロータ電気チェック2
KJMA42,004010,ロータ電気チェック3(未使用)
KJMA42,005010,ロータ圧入
KJMA42,006010,プレートレーザ溶接
KJMA42,007010,ブラシ組付け
KJMA42,008010,ケース・リング組付け
KJMA42,009010,HW溶着#1
KJMA42,009020,HW溶着#2
KJMA42,009030,HW溶着#3
KJMA42,010010,手動バリ取り作業
KJMA42,011010,後半ライン投入
KJMA42,012010,ボス・シャフト組付け
KJMA42,013010,ボス・ステータ超音波溶着
KJMA42,013510,ボス・プレート超音波溶着
KJMA42,014010,ALボス組付け
KJMA42,015010,ALボスねじ締め
KJMA42,016010,気密試験#1
KJMA42,016020,気密試験#2
KJMA42,016030,気密試験#3
KJMA42,017010,リニアリティ#1
KJMA42,017020,リニアリティ#2
KJMA42,017030,リニアリティ#3
KJMA42,018010,特性試験1#1
KJMA42,018020,特性試験1#2
KJMA42,018030,特性試験1#3
KJMA42,019010,特性試験2#1
KJMA42,019020,特性試験2#2
KJMA42,019030,特性試験2#3
KJMA42,020010,ワーク反転
KJMA42,021010,レーザー印字
KJMA42,022010,印字チェック
KJMA43,001010,ステータ・ロータ供給・印字#1
KJMA43,001020,ステータ・ロータ供給・印字#2
KJMA43,002010,着磁#1
KJMA43,002020,着磁#2
KJMA43,003010,ロータ電気チェック1#1
KJMA43,003020,ロータ電気チェック1#2
KJMA43,004010,ロータ電気チェック2#1
KJMA43,004020,ロータ電気チェック2#2
KJMA43,005010,NG排出#1
KJMA43,005020,NG排出#2
KJMA43,006010,ロータ圧入#1
KJMA43,006020,ロータ圧入#2
KJMA43,007010,プレートレーザ溶接#1
KJMA43,007020,プレートレーザ溶接#2
KJMA43,008010,ブラシ組付け#1
KJMA43,008020,ブラシ組付け#2
KJMA43,009010,ブラシチェック#1
KJMA43,009020,ブラシチェック#2
KJMA43,010010,センサAssy組付けA#1
KJMA43,010020,センサAssy組付けA#2
KJMA43,011010,センサAssy組付けB#1
KJMA43,011020,センサAssy組付けB#2
KJMA43,012010,回転電流チェック#1
KJMA43,012020,回転電流チェック#2
KJMA43,013010,HW溶着#1
KJMA43,013020,HW溶着#2
KJMA43,014010,バリ取リ自動化・排出#1
KJMA43,014020,バリ取リ自動化・排出#2
KJMA43,015010,モートルAssy・ALボス供給
KJMA43,016010,グリス塗布・シャフト引込
KJMA43,017010,ボス超音波溶着
KJMA43,018010,ボスプレート超音波溶着
KJMA43,019010,ALボス組付け
KJMA43,020010,ALボスネジ締め
KJMA43,021010,ネジ高さ測定
KJMA43,022010,払出
KJMA43,023010,気密試験
KJMA43,024010,センサ書込み
KJMA43,025010,特性試験
KJMA43,026010,レーザマーキング
KJMA43,027010,カメラチェック
KJMA43,028010,Cst1～5搬送
KJMA43,033010,気密試験#1
KJMA43,033020,気密試験#2
KJMA43,033030,気密試験#3
KJMA43,033040,気密試験#4
KJMA43,033050,気密試験#5
KJMA43,033060,気密試験#6
KJMA43,034010,センサ書込み#1
KJMA43,034020,センサ書込み#2
KJMA43,034030,センサ書込み#3
KJMA43,034040,センサ書込み#4
KJMA43,034050,センサ書込み#5
KJMA43,035010,特性試験#1
KJMA43,035020,特性試験#2
KJMA43,035030,特性試験#3
KJMA43,035040,特性試験#4
KJMA43,035050,特性試験#5
KJMA43,036010,レーザマーキング#1
KJMA43,036020,レーザマーキング#2
KJMA43,037010,カメラチェック#1
KJPC42,001010,粉体塗装
KJSA43,001010,ワーク供給
